name,cik,ticker,founding_date,s1_filing_date,status,primary_disease_area,disease_areas,modality_category,modality_subtype,modality_details,targets,lead_stage,pipeline_summary,extraction_source,acquirer,cagr_pct,city,current_price,exchange,exit_date,exit_details,exit_type,market_cap,price_days_trading,price_first_date,price_first_price,price_last_date,price_last_price,price_max_date,price_max_price,price_max_return_pct,price_min_price,price_total_return_pct,sic_code,state
"Coya Therapeutics, Inc.",0001835022,COYA,2020-04-30,2022-11-18,trading,cns,"cns,immunology,metabolic",other,cell_therapy,"cell_therapy,biologic","CD4,CD25,FOXP3",phase_2,"Develops regulatory T cell (Treg) based therapies including autologous cell therapy, allogeneic exosomes, and Treg-enhancing biologics for neurodegenerative diseases like ALS, autoimmune and metabolic disorders.",s1_filing,,1.5,HOUSTON,4.785,NCM,,,,100123520,1133,2022-12-29,4.57,2026-02-04,4.78,2024-10-28,10.19,123.0,3.3,4.7,2834,TX
CQENS Technologies Inc.,0001479915,,2002-01-01,2010-03-29,unknown,,,,,,,unknown,"A blank check company seeking to acquire or merge with a private entity, with no current drug development operations or pipeline",s1_filing,,,MINNEAPOLIS,,,,,unknown,,,,,,,,,,,,2834,MN
"CRESCENT BIOPHARMA, INC.",0001253689,CBIO,2003-04-04,2013-10-04,trading,oncology,oncology,biologic,bispecific,"bispecific,adc","PD-1,VEGF,PD-L1,ITGB6",preclinical,"Develops bispecific antibodies and antibody-drug conjugates for cancer treatment, with lead program CR-001 being a PD-1 x VEGF bispecific antibody designed to replace pembrolizumab as the foundational immuno-oncology backbone.",s1_filing,,,WALTHAM,9.5,NCM,,,,289244288,4408,2014-01-10,-991.1,2026-02-04,9.5,2023-02-14,405.0,-140.9,-2788.5,-101.0,2834,MA
"Crinetics Pharmaceuticals, Inc.",0001658247,CRNX,2010-01-01,2018-06-22,trading,rare_disease,"rare_disease,oncology,metabolic",small_molecule,small_molecule,small_molecule,"sst2,sst5,MC2,GPCR",phase_1,"Develops oral small molecule therapeutics targeting peptide GPCRs for rare endocrine diseases including acromegaly, hyperinsulinemias, neuroendocrine tumors, and Cushing's disease.",s1_filing,,9.1,SAN DIEGO,47.23,NMS,,,,4841634304,2758,2018-07-18,24.51,2026-02-04,47.23,2024-11-08,60.69,147.6,11.52,92.7,2834,CA
"Cue Biopharma, Inc.",0001645460,CUE,2011-01-01,2017-09-21,trading,oncology,"oncology,immunology",biologic,protein,protein,,preclinical,Develops a proprietary CUE Biologics platform to create biologic drugs that selectively modulate disease-relevant T cells for treating cancers and autoimmune disorders.,s1_filing,,-36.4,BOSTON,0.3009,NCM,,,,27453436,2955,2018-01-02,11.63,2026-02-04,0.3,2020-06-02,30.73,164.2,0.24,-97.4,2834,MA
CUMBERLAND PHARMACEUTICALS INC,0001087294,CPIX,2006-09-01,2009-07-29,trading,gastroenterology,gastroenterology,small_molecule,small_molecule,small_molecule,,approved,"A specialty pharmaceutical company focused on acquiring, developing and commercializing branded prescription products primarily for hospital acute care and gastroenterology markets, with approved products including Acetadote for acetaminophen poisoning and Kristalose for gastroenterology conditions.",s1_filing,,-8.3,"NASHVILLE,",4.0315,NMS,,,,60310984,6021,2009-08-11,16.83,2026-02-04,4.03,2009-08-13,17.05,1.3,1.06,-76.0,2834,TN
Curanex Pharmaceuticals Inc,0002025942,CURX,2018-06-01,2024-10-16,trading,immunology,"immunology,gastroenterology,dermatology,infectious_disease,metabolic",other,botanical_extract,botanical_extract,,preclinical,"Develops botanical drug extracts from medicinal plants to treat inflammatory diseases including ulcerative colitis, atopic dermatitis, COVID-19, diabetes, NAFLD, gout and acne.",s1_filing,,-99.7,JERICHO,0.2895,NCM,,,,8204665,162,2025-08-26,4.02,2026-02-04,0.29,2025-09-16,9.16,127.9,0.29,-92.8,2834,NY
CURAXIS PHARMACEUTICAL Corp,0001170723,,2001-02-01,2005-09-09,ipo_withdrawn,cns,cns,other,biodegradable_implant,biodegradable_implant,leuprolide_acetate,phase_3,"Develops Memryte, a biodegradable implant containing leuprolide acetate for the treatment of mild to moderate Alzheimer's disease as adjunctive therapy.",s1_filing,,,ALPHARETTA,,,2005-12-13,,ipo_withdrawn,,,,,,,,,,,,2834,2Q
CURAXIS PHARMACEUTICAL Corp,0001434893,,2008-02-01,2008-05-15,ipo_withdrawn,cns,"cns,oncology",other,implant,implant,"HPG axis,leuprolide acetate",phase_2,Develops proprietary biodegradable implants containing leuprolide acetate targeting the hypothalamic-pituitary-gonadal axis for treatment of Alzheimer's disease and oncology indications.,s1_filing,,,RALEIGH,,,2010-11-17,,ipo_withdrawn,,,,,,,,,,,,2834,NC
CUTANEA LIFE SCIENCES INC,0001374049,,2005-05-01,2010-08-12,ipo_withdrawn,dermatology,dermatology,other,peptide,"peptide,chitosan_gel,topical_antiviral",,phase_3,"Develops topical dermatological treatments including omiganan peptide for rosacea and atopic dermatitis, chitosan-based dermal filler, and antiviral therapy for non-genital warts.",s1_filing,,,WAYNE,,,2011-10-24,,ipo_withdrawn,,,,,,,,,,,,2834,PA
"CV Sciences, Inc.",0001510964,CVSI,2010-12-09,2011-03-31,trading,,,other,nutraceutical,"nutraceutical,hemp_extract",CBD,approved,"Develops and sells CBD-containing consumer products including tinctures, capsules, and beauty products derived from industrial hemp for health and wellness applications.",s1_filing,,-30.6,SAN DIEGO,0.042,OQB,,,,7739074,4740,2013-02-12,4.6,2026-02-04,0.04,2014-02-24,165.0,3487.0,0.02,-99.1,2834,CA
"Cyclerion Therapeutics, Inc.",0001755237,CYCN,2013-09-01,2019-04-18,trading,rare_disease,"rare_disease,cardiovascular,metabolic,cns",small_molecule,small_molecule,small_molecule,"sGC,cGMP",unknown,Develops next-generation sGC stimulator small molecules that boost cGMP production to treat serious and orphan diseases by targeting the nitric oxide-cGMP pathway.,s1_filing,,-53.7,CAMBRIDGE,1.2407,NCM,,,,4722367,2515,2019-03-18,250.0,2026-02-04,1.24,2019-04-01,457.0,82.8,1.18,-99.5,2834,MA
"Cyteir Therapeutics, Inc.",0001662244,,2020-09-01,2021-05-28,acquired,oncology,"oncology,hematology",small_molecule,small_molecule,small_molecule,"RAD51,AID,APOBEC,cytidine deaminases,homologous recombination",phase_2,Develops oral small molecule inhibitors targeting DNA damage repair pathways through synthetic lethality for precision oncology treatment of hematologic malignancies and solid tumors.,s1_filing,,,STONEHAM,,,2023-10-12,,acquired,,,,,,,,,,,,2834,MA
"CytomX Therapeutics, Inc.",0001501989,CTMX,2010-09-01,2015-08-28,trading,oncology,oncology,biologic,antibody,"antibody,adc,bispecific","PD-L1,CD-166",preclinical,Develops Probody therapeutics using a proprietary platform that creates antibody-based cancer treatments designed to activate selectively in the tumor microenvironment while remaining inactive in healthy tissues.,s1_filing,,-7.5,SOUTH SAN FRANCISCO,5.765,NMS,,,,976795008,3772,2015-10-08,12.9,2026-02-04,5.76,2018-03-12,34.22,165.3,0.43,-55.3,2834,CA
Dance Biopharm Inc.,0001596126,,2009-02-01,2014-04-09,ipo_withdrawn,,,,,,,,,,,,BRISBANE,,,2014-10-16,,ipo_withdrawn,,,,,,,,,,,,2834,CA
"Day One Biopharmaceuticals, Inc.",0001845337,DAWN,2018-11-01,2021-05-04,trading,oncology,"oncology,cns,rare_disease",small_molecule,small_molecule,small_molecule,"RAF,MEK,BRAF,RAS,MAPK",phase_2,"Develops targeted small molecule therapies for genetically defined cancers with initial focus on pediatric patients, including RAF and MEK inhibitors for brain tumors and other MAPK-altered cancers.",s1_filing,,-15.6,BRISBANE,10.63,NMS,,,,1091440640,1714,2021-05-27,23.5,2026-02-04,10.63,2021-09-01,27.92,18.8,5.72,-54.8,2834,CA
"Decibel Therapeutics, Inc.",0001656536,,2013-01-01,2021-01-22,acquired,other,other,other,gene_therapy,gene_therapy,,unknown,Develops gene therapies for hearing and balance disorders by restoring and regenerating functional hair cells and support cells within the inner ear.,s1_filing,,,BOSTON,,,2023-09-25,,acquired,,,,,,,,,,,,2834,MA
"Deciphera Pharmaceuticals, Inc.",0001654151,,2016-06-01,2017-09-01,acquired,oncology,"oncology,cns,hematology",small_molecule,small_molecule,small_molecule,"KIT,PDGFR,CSF1R,TIE2,KDR",phase_3,"Develops targeted small molecule kinase inhibitors for cancer treatment, with lead drug DCC-2618 in Phase 3 trials for gastrointestinal stromal tumors (GIST) targeting KIT and PDGFR mutations.",s1_filing,,,WALTHAM,,,2024-06-11,,acquired,,,,,,,,,,,,2834,MA
Dermavant Sciences Ltd,0001753483,,2016-03-01,2019-05-24,ipo_withdrawn,dermatology,dermatology,small_molecule,small_molecule,small_molecule,AHR,phase_3,"Develops topical small molecule therapeutics for inflammatory skin conditions including psoriasis and atopic dermatitis, with lead candidate tapinarof being an aryl hydrocarbon receptor modulating agent.",s1_filing,,,PHOENIX,,,2019-09-06,,ipo_withdrawn,,,,,,,,,,,,2834,AZ
"Dermira, Inc.",0001557883,,2010-08-01,2014-08-27,acquired,dermatology,dermatology,both,antibody,"antibody,small_molecule","TNF-alpha,acetylcholine,acetyl coenzyme A carboxylase",phase_3,Develops dermatology therapies including TNF inhibitor biologics for psoriasis and topical small molecules for hyperhidrosis and acne.,s1_filing,,,MENLO PARK,,,2020-02-20,,acquired,,,,,,,,,,,,2834,CA
"Design Therapeutics, Inc.",0001807120,DSGN,2017-12-01,2021-03-05,trading,rare_disease,"rare_disease,cns,cardiovascular,ophthalmology",small_molecule,small_molecule,small_molecule,"FXN,DMPK,GAA repeats,CTG repeats,HTT",preclinical,Develops small-molecule GeneTAC therapeutics that target nucleotide repeat expansions to treat inherited diseases like Friedreich ataxia and myotonic dystrophy by modulating gene transcription.,s1_filing,,-22.2,CARLSBAD,10.0525,NMS,,,,572628160,1773,2021-03-29,34.01,2026-02-04,10.05,2021-03-29,34.01,0.0,1.99,-70.4,2834,CA
DiaMedica Therapeutics Inc.,0001401040,DMAC,2012-05-15,2018-11-09,trading,cns,"cns,renal",biologic,protein,protein,"KLK1,tissue kallikrein-1",phase_1,"Develops DM199, a recombinant human tissue kallikrein-1 protein therapy for acute ischemic stroke and chronic kidney disease.",s1_filing,,-11.3,MINNEAPOLIS,8.15,NCM,,,,424431104,4933,2012-08-03,41.08,2026-02-04,8.15,2012-08-07,44.18,7.5,0.81,-80.2,2834,MN
"DICE Therapeutics, Inc.",0001645569,,2013-11-01,2021-08-25,acquired,immunology,"immunology,oncology",small_molecule,small_molecule,small_molecule,,unknown,Develops oral small molecule therapeutics using their DELSCAPE platform to target protein-protein interactions for chronic immunological diseases and immuno-oncology indications.,s1_filing,,,SOUTH SAN FRANCISCO,,,2023-08-09,,acquired,,,,,,,,,,,,2834,CA
Dicerna Pharmaceuticals Inc,0001399529,,2006-10-01,2013-12-31,acquired,rare_disease,"rare_disease,oncology",other,rna,rna,"glycolate oxidase,MYC,KRAS",preclinical,Develops RNAi-based therapeutics using proprietary DsiRNA technology to treat rare inherited liver diseases and genetically-defined cancers by silencing disease-causing genes.,s1_filing,,,LEXINGTON,,,2021-12-28,,acquired,,,,,,,,,,,,2834,MA
"Disc Medicine, Inc.",0001816736,IRON,2020-06-01,2020-07-24,trading,ophthalmology,"ophthalmology,immunology",biologic,protein,protein,"CFH,complement system,VEGF",phase_2,Develops recombinant complement factor H protein (GEM103) to treat genetically defined age-related macular degeneration by restoring complement regulation in patients with CFH gene variants.,s1_filing,,-22.2,WATERTOWN,78.03,NGM,,,,2945645056,2002,2020-08-12,309.0,2026-02-04,78.03,2021-03-15,540.0,74.8,17.95,-74.7,2834,MA
"DNIB UNWIND, INC.",0001385228,,2006-05-01,2013-08-12,delisted,oncology,oncology,other,nanomedicine,"nanomedicine,small_molecule",PSMA,phase_2,"Develops Accurins, targeted nanomedicine therapeutics that deliver drug payloads to specific tissues and cells, with lead candidate BIND-014 targeting PSMA-positive cancers using docetaxel payload.",s1_filing,,,CAMBRIDGE,,,2017-01-30,,delisted,,,,,,,,,,,,2834,MA
"Dogwood Therapeutics, Inc.",0001818844,DWTX,2007-01-01,2020-08-28,trading,infectious_disease,"infectious_disease,immunology,gastroenterology,cns",small_molecule,small_molecule,small_molecule,"HSV-1,COX-2,COX-1",phase_2,Develops a fixed-dose combination antiviral therapy (IMC-1) containing famciclovir and celecoxib to suppress HSV-1 activation and treat fibromyalgia and other chronic illnesses associated with viral-triggered immune responses.,s1_filing,,-61.5,ALPHARETTA,3.13,NCM,,,,100418112,1875,2020-12-17,417.75,2026-02-04,3.13,2020-12-17,417.75,0.0,1.85,-99.3,2834,GA
Dova Pharmaceuticals Inc.,0001685071,,2016-03-01,2017-06-02,acquired,hematology,hematology,small_molecule,small_molecule,small_molecule,"TPO-RA,c-Mpl",phase_3,"Develops avatrombopag, an oral thrombopoietin receptor agonist for treating thrombocytopenia in chronic liver disease patients and immune thrombocytopenic purpura.",s1_filing,,,DURHAM,,,2019-11-12,,acquired,,,,,,,,,,,,2834,NC
"Dyne Therapeutics, Inc.",0001818794,DYN,2017-01-01,2020-08-25,trading,rare_disease,"rare_disease,cardiovascular,metabolic,cns",other,adc,"adc,rna","TfR1,DMPK,DUX4,dystrophin",preclinical,"Develops antibody-oligonucleotide conjugates using their FORCE platform to deliver targeted therapeutics for genetically-driven muscle diseases including DM1, DMD, and FSHD.",s1_filing,,-4.9,WALTHAM,18.265,NMS,,,,3007373056,1966,2020-09-17,23.9,2026-02-04,18.26,2024-08-21,47.04,96.8,4.36,-23.6,2834,MA
"EAGLE PHARMACEUTICALS, INC.",0000827871,,2007-01-01,2013-12-20,delisted,,,other,injectable_formulations,injectable_formulations,,approved,Develops improved injectable pharmaceutical products using the FDA's 505(b)(2) regulatory pathway to address shortcomings of existing commercially successful injectable products.,s1_filing,,,WOODCLIFF LAKE,,,2025-01-24,,delisted,,,,,,,,,,,,2834,NJ
EARTH DRAGON RESOURCES INC.,0001441247,,2007-10-23,2008-07-30,delisted,,,,,,,,,,,,TOKYO,,,2019-04-26,,delisted,,,,,,,,,,,,2834,M0
"Earth Science Tech, Inc.",0001538495,ETST,2010-04-23,2012-02-01,trading,,,,,,,,,,,-14.6,MIAMI,0.147,PNK,,,,43188248,4403,2014-01-15,1.0,2026-02-04,0.15,2017-02-16,3.67,267.0,0.01,-85.3,2834,FL
"Edgewise Therapeutics, Inc.",0001710072,EWTX,2017-01-01,2021-03-05,trading,rare_disease,"rare_disease,cns,cardiovascular",small_molecule,small_molecule,small_molecule,"fast myofiber myosin,type II myosin,cardiac modulators",phase_1,"Develops small molecule precision medicines targeting muscle proteins to treat rare muscle disorders including Duchenne muscular dystrophy, Becker muscular dystrophy, and hypertrophic cardiomyopathy.",s1_filing,,-0.6,BOULDER,29.065,NMS,,,,3077065984,1776,2021-03-26,30.0,2026-02-04,29.07,2024-11-06,36.62,22.1,5.51,-3.1,2834,CO
"Eidos Therapeutics, Inc.",0001731831,,2013-01-01,2018-05-25,acquired,rare_disease,"rare_disease,cardiovascular,cns",small_molecule,small_molecule,small_molecule,TTR,phase_3,"Develops AG10, an oral small molecule TTR stabilizer for treating transthyretin amyloidosis (ATTR) including cardiomyopathy and polyneuropathy forms.",s1_filing,,,SAN FRANCISCO,,,2020-12-15,,acquired,,,,,,,,,,,,2834,CA
"Elicio Therapeutics, Inc.",0001555192,,2012-01-01,2021-06-28,ipo_withdrawn,oncology,oncology,other,vaccine,"vaccine,adjuvant",KRAS,phase_1,"Develops lymph node-targeted immunotherapies using their AMP platform, with lead candidate ELI-002 targeting KRAS-driven cancers.",s1_filing,,,CAMBRIDGE,,,2022-09-13,,ipo_withdrawn,,,,,,,,,,,,2834,MA
"Elicio Therapeutics, Inc.",0001601485,ELTX,2011-06-01,2014-04-14,trading,renal,"renal,cardiovascular,respiratory,cns,other",small_molecule,small_molecule,small_molecule,"HGF,tyrosine kinase,ROCK2,CYP11B2,aldosterone synthase",unknown,"Develops small molecule therapeutics targeting acute organ injuries and fibrotic diseases, with lead candidate ANG-3777 being an HGF mimetic for acute kidney injury and other organ injuries.",s1_filing,,-46.0,BOSTON,7.86,NCM,,,,135653008,1825,2021-02-05,170.2,2026-02-04,7.86,2021-02-22,257.4,51.2,3.3,-95.4,2834,MA
"Emmaus Life Sciences, Inc.",0000822370,EMMA,2000-01-11,2010-02-01,trading,cns,cns,other,diagnostic_platform,"diagnostic_platform,ai_analytics,telehealth_services",,approved,Develops AI-powered EEG analysis platform (PEER) to predict psychiatric medication responses and provides telebehavioral health services through nationwide network of mental health professionals.,s1_filing,,-56.3,TORRANCE,0.0139,OQB,,,,975755,10757,1996-08-22,393842528.0,2026-02-03,0.01,1996-08-26,427502752.0,8.5,0.0,-100.0,2834,CA
Endo LP,0002008861,,2023-01-01,2024-07-12,acquired,,,other,other,other,,approved,"Diversified specialty pharmaceutical company with branded, generic, sterile injectable and international pharmaceutical products, featuring XIAFLEX as their main branded product with additional indications in development.",s1_filing,"Endo, Inc.",,MALVERN,,,2025-05-12,,acquired,,,,,,,,,,,,2834,PA
"Enliven Therapeutics, Inc.",0001672619,ELVN,2016-01-01,2020-02-14,trading,rare_disease,"rare_disease,hematology",small_molecule,small_molecule,small_molecule,PDE9,phase_2,Develops oral small molecule PDE9 inhibitors for rare inherited hemoglobinopathies including sickle cell disease and beta-thalassemia.,s1_filing,,-12.6,BOULDER,27.06,NMS,,,,1605938304,2155,2020-03-12,60.0,2026-02-04,27.06,2020-06-11,219.48,265.8,3.96,-54.9,2834,CO
"Ensysce Biosciences, Inc.",0001716947,ENSC,2013-01-01,2017-11-03,trading,cns,"cns,respiratory",small_molecule,small_molecule,small_molecule,"trypsin,oxycodone",phase_1,Develops abuse-resistant opioid prodrug technologies using TAAP and MPAR platforms to provide pain relief while preventing prescription opioid misuse and overdose.,s1_filing,,-75.1,LA JOLLA,0.58,NCM,,,,2106734,2884,2018-03-14,34380.0,2026-02-04,0.58,2021-02-01,86364.0,151.2,0.58,-100.0,2834,CA
Entasis Therapeutics Holdings Inc.,0001724344,,2015-05-01,2018-08-17,acquired,infectious_disease,infectious_disease,small_molecule,small_molecule,small_molecule,"beta-lactamase,bacterial gyrase,penicillin-binding proteins",phase_3,"Develops novel antibacterial small molecules to treat serious infections caused by multi-drug resistant Gram-negative bacteria, including beta-lactamase inhibitors and bacterial gyrase inhibitors.",s1_filing,,,WALTHAM,,,2022-07-08,,acquired,,,,,,,,,,,,2834,MA
"Enterologics, Inc.",0001483731,,2009-09-02,2010-02-17,unknown,gastroenterology,"gastroenterology,infectious_disease",biologic,live_biotherapeutics,"live_biotherapeutics,probiotic_bacteria","E_coli_probiotic_strains,Clostridium_difficile",discovery,"Develops live biotherapeutic products using probiotic bacteria in shelf-stable formulations for gastrointestinal disorders including pouchitis, irritable bowel syndrome, Crohn's disease, ulcerative colitis, and C. diff infections.",s1_filing,,,ST. PAUL,,,,,unknown,,,,,,,,,,,,2834,MN
"ENTEST GROUP, INC.",0001449447,,2008-09-24,2008-11-04,ipo_withdrawn,,,,,,,,,,,,SHENZHEN,,,2012-06-04,,ipo_withdrawn,,,,,,,,,,,,2834,F4
"Entrada Therapeutics, Inc.",0001689375,TRDA,2016-01-01,2021-10-08,trading,rare_disease,"rare_disease,immunology,oncology,metabolic,cns",other,rna,"rna,peptide,protein","dystrophin,IRF5,β-catenin,GYS1,thymidine phosphorylase",preclinical,"Develops Endosomal Escape Vehicle (EEV) therapeutics that enable intracellular delivery of oligonucleotides, antibodies, and enzymes primarily for rare neuromuscular diseases including Duchenne muscular dystrophy and myotonic dystrophy type 1.",s1_filing,,-16.2,BOSTON,11.29,NGM,,,,431495136,1559,2021-10-29,23.95,2026-02-04,11.29,2021-11-17,35.0,46.1,5.02,-52.9,2834,MA
"Enumeral Biomedical Holdings, Inc.",0001561551,,2012-02-01,2013-01-04,acquired,oncology,oncology,biologic,antibody,antibody,"PD-1,TIM-3,CD39,TIGIT,PD-L1",preclinical,Develops next-generation monoclonal antibody immunotherapies targeting immune checkpoint receptors for cancer treatment using proprietary single-cell analysis platform technology.,s1_filing,,,ARLINGTON,,,2016-12-12,,acquired,,,,,,,,,,,,2834,MA
EnzymeBioSystems,0001471968,,2009-06-26,2009-09-28,delisted,oncology,oncology,other,enzyme,enzyme,,preclinical,"Develops specialty enzymes and enzyme-related products for therapeutic applications, with lead product Amooranin showing preclinical activity in suppressing growth factor signaling and promoting apoptosis.",s1_filing,,,LAS VEGAS,,,2018-09-14,,delisted,,,,,,,,,,,,2834,NV
EnzymeBioSystems/Old,0001468135,,2009-06-26,2009-07-17,delisted,,,other,enzyme,enzyme,,discovery,"Develops and manufactures specialty enzymes for pharmaceutical and biotechnology companies to use in drug compound development, biologics, and drug delivery services.",s1_filing,,,CHAGRIN FALLS,,,2009-09-09,,delisted,,,,,,,,,,,,2834,OH
"EPIRUS Biopharmaceuticals, Inc.",0001135906,,2001-01-01,2004-12-10,acquired,,,,,,,,,,,,BOSTON,,,2009-12-22,,acquired,,,,,,,,,,,,2834,MA
"EQRx, Inc.",0001843762,,2021-01-25,2021-02-25,acquired,oncology,"oncology,immunology",both,antibody,"small_molecule,antibody","EGFR,PD-L1",phase_3,Develops innovative medicines through in-licensing late-stage oncology and immune-inflammatory programs including EGFR inhibitors and PD-L1 antibodies to offer at radically lower prices.,s1_filing,"CMLS III, and CMLS III changed its name to EQRx, Inc.",,CAMBRIDGE,,,2023-09-29,,acquired,,,,,,,,,,,,2834,MA
"Equillium, Inc.",0001746466,EQ,2017-03-01,2018-09-17,trading,immunology,"immunology,cns,respiratory,gastroenterology,renal,cardiovascular,ophthalmology,dermatology,transplant",biologic,antibody,antibody,CD6,unknown,Develops monoclonal antibody therapies targeting CD6 immune checkpoint receptor for severe autoimmune and inflammatory disorders.,s1_filing,,-26.4,LA JOLLA,1.485,NCM,,,,90426528,2672,2018-10-12,14.0,2026-02-04,1.49,2020-07-13,26.5,89.3,0.29,-89.4,2834,CA
"Erasca, Inc.",0001761918,ERAS,2018-01-01,2021-06-25,trading,oncology,oncology,other,modality_agnostic,modality_agnostic,"RAS,MAPK",phase_1,Develops modality-agnostic therapies targeting the RAS/MAPK pathway for precision oncology treatment of RAS-driven cancers.,s1_filing,,-9.6,SAN DIEGO,10.98,NMS,,,,3399262976,1664,2021-07-16,17.43,2026-02-04,10.98,2021-09-02,24.34,39.6,1.06,-37.0,2834,CA
"Esperion Therapeutics, Inc.",0001434868,ESPR,2008-01-01,2013-05-14,trading,cardiovascular,"cardiovascular,metabolic",small_molecule,small_molecule,small_molecule,"ATP citrate lyase,AMPK,LDL-C",phase_2,"Develops ETC-1002, a novel small molecule therapy targeting ATP citrate lyase and AMPK to lower LDL cholesterol levels in patients who are statin intolerant or have residual cardiovascular risk.",s1_filing,,-10.8,ANN ARBOR,3.445,NGM,,,,823573504,4606,2013-06-26,14.5,2026-02-04,3.44,2015-05-19,115.3,695.2,0.73,-76.2,2834,MI
"Eton Pharmaceuticals, Inc.",0001710340,ETON,2017-04-01,2018-08-10,trading,cns,"cns,ophthalmology,pain_management,nutrition,rare_disease",small_molecule,small_molecule,"small_molecule,peptide","corticotropin,adrenocorticotrophic_hormone",phase_3,"Develops reformulated liquid versions of FDA-approved molecules using the 505(b)(2) pathway for CNS disorders, ophthalmology, pain management, and nutrition applications.",s1_filing,,12.8,DEER PARK,14.92,NGM,,,,400117632,2640,2018-11-13,6.25,2026-02-04,14.92,2025-09-29,22.48,259.7,2.02,138.7,2834,IL
"Evelo Biosciences, Inc.",0001694665,EVLO,2014-01-01,2018-04-13,trading,immunology,"immunology,oncology",other,monoclonal_microbials,monoclonal_microbials,,preclinical,Develops orally-delivered monoclonal microbials that act on the gut-body network to modulate immune responses for treating inflammatory diseases and cancer.,s1_filing,,,FOXBORO,0.0002,PNK,,,,3796,2827,2018-05-09,325.0,2026-02-03,0.0,2021-01-28,372.0,14.5,0.0,-100.0,2834,MA
"Evofem Biosciences, Inc.",0001618835,EVFM,2007-02-01,2014-10-17,trading,reproductive_health,"reproductive_health,infectious_disease",other,vaginal_gel,"vaginal_gel,ph_modulator","CCR5,vaginal_ph",approved,"Develops vaginal pH modulator gels for women's reproductive health, with approved contraceptive Phexxi and pipeline candidates for STI prevention and bacterial vaginosis.",s1_filing,,-76.9,SAN DIEGO,0.009,PNK,,,,1140173,4094,2014-11-20,135000.0,2026-02-04,0.01,2015-08-04,163462.5,21.1,0.01,-100.0,2834,CA
Evoke Pharma Inc,0001403708,EVOK,2007-01-01,2013-05-24,delisted,gastroenterology,gastroenterology,small_molecule,small_molecule,small_molecule,metoclopramide,approved,"Develops nasal spray formulations of established drugs for gastrointestinal disorders, with their sole product Gimoti (metoclopramide nasal spray) approved for diabetic gastroparesis.",s1_filing,,-33.8,SOLANA BEACH,,,,,unknown,,4466,2013-09-25,1690.57,2025-12-17,11.0,2013-10-04,2014.57,19.2,2.07,-99.3,2834,CA
"Evolus, Inc.",0001570562,EOLS,2012-11-01,2018-01-09,trading,,,,,,,,,,,-11.1,NEWPORT BEACH,4.515,NGM,,,,292661312,2918,2018-02-08,11.5,2026-02-04,4.51,2018-06-06,38.49,234.7,2.92,-60.7,2834,CA
"Evommune, Inc.",0002044725,EVMN,2020-01-01,2025-10-09,trading,immunology,"immunology,dermatology,gastroenterology",both,small_molecule,"small_molecule,protein","MRGPRX2,IL-18",phase_2,"Develops innovative therapies targeting key drivers of chronic inflammatory diseases including MRGPRX2 and IL-18 for conditions like chronic urticaria, atopic dermatitis, and ulcerative colitis.",s1_filing,,-35.0,PALO ALTO,18.195,NYQ,,,,573580864,90,2025-11-06,20.23,2026-02-04,18.19,2025-12-04,21.93,8.4,15.01,-10.1,2834,CA
"EXICURE, INC.",0001698530,XCUR,2017-02-06,2017-11-28,trading,hematology,hematology,small_molecule,small_molecule,small_molecule,"GPC-100,Burixafor",phase_2,Develops GPC-100 (Burixafor) combined with propranolol for stem cell mobilization in Multiple Myeloma patients undergoing bone marrow transplant,s1_filing,,-45.6,CHICAGO,4.26,NCM,,,,27152684,2815,2018-05-22,465.0,2026-02-04,4.26,2018-09-18,975.0,109.7,1.5,-99.1,2834,IL
"Exxel Pharma, INC.",0002046638,,2018-01-01,2025-09-19,unknown,cns,"cns,respiratory,renal",small_molecule,small_molecule,small_molecule,FAAH,preclinical,"Develops small-molecule FAAH inhibitors that are excluded from the CNS for treating neuronal hypersensitivity disorders including refractory chronic cough, hyperactive bladder, and peripheral neuropathies.",s1_filing,,,VANCOUVER,,,,,unknown,,,,,,,,,,,,2834,
EYETECH PHARMACEUTICALS INC,0001115285,,2002-01-01,2003-09-12,delisted,ophthalmology,ophthalmology,other,aptamer,aptamer,,phase_3,"Develops Macugen, an aptamer-based therapy for wet AMD and diabetic macular edema in partnership with Pfizer.",s1_filing,,,NEW YORK,,,2005-11-14,,delisted,,,,,,,,,,,,2834,NY
Felicitex Therapeutics Inc.,0001912287,,2012-01-01,2022-08-10,unknown,oncology,"oncology,hematology",small_molecule,small_molecule,small_molecule,"DYRK1A,DYRK1B,EGFR,KRAS,MEK",preclinical,"Develops small molecule inhibitors targeting dormant and active cancer cells, focusing on DYRK kinase inhibitors for solid tumors and hematological cancers including pediatric ALL, NSCLC, and other cancers with EGFR and KRAS mutations.",s1_filing,,,NATICK,,,,,unknown,,,,,,,,,,,,2834,MA
"FibroBiologics, Inc.",0001958777,FBLG,2021-04-01,2023-11-07,trading,dermatology,"dermatology,cns,oncology,rare_disease",other,cell_therapy,cell_therapy,,unknown,"Develops fibroblast-based cell therapies for chronic diseases including wound healing, multiple sclerosis, degenerative disc disease, psoriasis, certain cancers, and longevity applications.",s1_filing,,-90.4,HOUSTON,0.2601,NCM,,,,17301780,735,2024-01-31,29.1,2026-02-04,0.26,2024-01-31,29.1,0.0,0.22,-99.1,2834,TX
