name,cik,ticker,founding_date,s1_filing_date,state,city,sic_code,status,current_price,market_cap,exchange,exit_type,exit_date,exit_details,price_days_trading,price_first_date,price_first_price,price_last_date,price_last_price,price_max_date,price_max_price,price_max_return_pct,price_min_price,price_total_return_pct
CHIMERIX INC,0001117480,,2000-04-01,2013-03-08,NC,DURHAM,2834,no_ticker,,,,,,,,,,,,,,,,
"CHINA PEDIATRIC PHARMACEUTICALS, INC.",0001354071,,2008-06-27,2010-01-28,F4,"XIAN, SHAANXI PROVINCE",2834,no_ticker,,,,,,,,,,,,,,,,
China Pharmaceuticals Inc,0001341808,,2008-05-29,2010-07-20,F4,XIAN CITY,2834,no_ticker,,,,,,,,,,,,,,,,
"China Polypeptide Group, Inc.",0001435530,,2007-03-01,2008-05-23,F4,WUHA,2834,no_ticker,,,,,,,,,,,,,,,,
"China QinBa Pharmaceuticals, Inc.",0001452777,,2008-05-29,2009-01-02,F4,XIAN CITY,2834,no_ticker,,,,,,,,,,,,,,,,
"CHINOOK THERAPEUTICS, INC.",0001435049,,2000-01-01,2015-03-11,WA,SEATTLE,2834,no_ticker,,,,,,,,,,,,,,,,
Chrome Holding Co.,0001804591,MEHCQ,2020-02-19,2020-09-16,CA,SAN FRANCISCO,2834,trading,3.5,96395232,PNK,,,,1691,2021-06-18,251.8,2026-02-03,3.5,2021-11-05,265.0,5.2,0.53,-98.6
"CinCor Pharma, Inc.",0001868734,,2018-03-01,2021-12-17,MA,WALTHAM,2834,no_ticker,,,,,,,,,,,,,,,,
Cingulate Inc.,0001862150,CING,2012-12-14,2021-09-09,KS,KANSAS CITY,2834,trading,6.2,46166972,NCM,,,,1519,2021-12-08,1068.0,2026-02-04,6.2,2021-12-08,1068.0,0.0,1.85,-99.4
"Cirius Therapeutics, Inc.",0001702956,,2015-11-01,2019-01-11,MI,GRAND RAPIDS,2834,no_ticker,,,,,,,,,,,,,,,,
"CITIUS ONCOLOGY, INC.",0001851484,CTOR,2021-03-01,2021-05-19,NJ,CRANFORD,2834,trading,1.085,95778592,NCM,,,,1154,2022-12-08,10.09,2026-02-04,1.09,2024-08-07,40.5,301.4,0.57,-89.2
"Citius Pharmaceuticals, Inc.",0001506251,CTXR,2010-09-09,2010-11-23,NJ,CRANFORD,2834,trading,0.7713,17258940,NCM,,,,4143,2014-10-02,375.0,2026-02-04,0.77,2016-02-09,937.5,150.0,0.68,-99.8
CLARUS THERAPEUTICS INC,0001286162,,2003-06-01,2010-11-19,,,2834,no_ticker,,,,,,,,,,,,,,,,
"Clearside Biomedical, Inc.",0001539029,CLSDQ,2015-12-01,2016-01-08,GA,ALPHARETTA,2834,trading,0.6002,3141459,PNK,,,,3534,2016-06-02,108.75,2026-02-04,0.6,2016-10-11,370.8,241.0,0.41,-99.4
Clene Inc.,0001822791,CLNN,2017-11-13,2021-02-17,UT,SALT LAKE CITY,2834,trading,4.125,48585520,NCM,,,,2666,2018-10-18,195.0,2026-02-04,4.12,2021-02-16,326.0,67.2,2.37,-97.9
Clever Leaves Holdings Inc.,0001819615,CLVR,2017-01-01,2021-01-20,F8,TOCANCIPA - CUNDINAMARCA,2834,trading,0.0002,350,PNK,,,,1873,2020-12-18,390.0,2026-02-03,0.0,2021-02-16,576.0,47.7,0.0,-100.0
"Climb Bio, Inc.",0001768446,CLYM,2018-10-01,2021-07-16,MA,WELLESLEY HILLS,2834,trading,5.39,367514080,NGM,,,,1639,2021-08-10,15.9,2026-02-04,5.39,2021-09-07,28.61,79.9,1.13,-66.1
"Clovis Oncology, Inc.",0001466301,,2009-04-01,2011-06-23,CO,BOULDER,2834,no_ticker,,,,,,,,,,,,,,,,
CNBX Pharmaceuticals Inc.,0001343009,CNBX,2004-09-15,2013-12-11,MD,BETHESDA,2834,trading,0.0002,174153,PNK,,,,6770,2007-07-23,300.01,2026-02-03,0.0,2017-02-21,774.03,158.0,0.0,-100.0
"CNS Pharmaceuticals, Inc.",0001729427,CNSP,2017-07-01,2019-06-28,TX,HOUSTON,2834,trading,5.2575,3020859,NCM,,,,2280,2019-11-08,4113000.0,2026-02-04,5.26,2020-01-10,4491000.0,9.2,5.09,-100.0
Coeptis Therapeutics Inc.,0001819663,,2018-11-01,2022-02-04,PA,WEXFORD,2834,no_ticker,,,,,,,,,,,,,,,,
"Cogent Biosciences, Inc.",0001622229,COGT,2014-03-01,2018-03-02,MA,WALTHAM,2834,trading,35.875,5507012096,NMS,,,,2869,2018-03-29,44.44,2026-02-04,35.88,2018-07-31,67.08,50.9,1.28,-19.3
"CoLabs Int'l, Corp.",0001584879,,2008-08-05,2023-03-27,CA,HUNTINGTON BEACH,2834,no_ticker,,,,,,,,,,,,,,,,
"COLLEGIUM PHARMACEUTICAL, INC",0001267565,COLL,2002-04-01,2015-04-02,MA,STOUGHTON,2834,trading,47.785,1510530432,NMS,,,,3926,2015-05-07,12.29,2026-02-04,47.78,2025-12-26,49.84,305.5,7.59,288.8
"CoLucid Pharmaceuticals, Inc.",0001348649,,2014-01-01,2015-03-30,MA,CAMBRIDGE,2834,no_ticker,,,,,,,,,,,,,,,,
"Comera Life Sciences Holdings, Inc.",0001907685,CMRA,2014-01-01,2022-05-05,MA,WOBURN,2834,trading,0.0001,3073,PNK,,,,1355,2022-05-20,8.85,2026-02-03,0.0,2022-05-20,8.85,0.0,0.0,-100.0
"CONCERT PHARMACEUTICALS, INC.",0001367920,,2006-04-12,2014-01-13,MA,LEXINGTON,2834,no_ticker,,,,,,,,,,,,,,,,
CONSTELLATION PHARMACEUTICALS INC,0001434418,,2008-01-01,2018-06-22,MA,CAMBRIDGE,2834,no_ticker,,,,,,,,,,,,,,,,
Context Therapeutics Inc.,0001842952,CNTX,2017-12-01,2021-05-27,PA,PHILADELPHIA,2834,trading,2.1,192946256,NCM,,,,1568,2021-10-20,5.1,2026-02-04,2.1,2021-10-25,7.45,46.1,0.48,-58.8
"Contineum Therapeutics, Inc.",0001855175,CTNM,2017-05-01,2024-03-15,CA,SAN DIEGO,2834,trading,14.32,523101696,NMS,,,,670,2024-04-05,15.4,2026-02-04,14.32,2024-07-16,21.75,41.2,3.4,-7.0
CONTRAFECT Corp,0001478069,,2008-01-01,2014-04-18,NY,YONKERS,2834,no_ticker,,,,,,,,,,,,,,,,
"Corbus Pharmaceuticals Holdings, Inc.",0001595097,CRBP,2009-04-24,2014-09-03,MA,NORWOOD,2834,trading,7.94,139371104,NCM,,,,4118,2014-10-27,90.0,2026-02-04,7.94,2017-03-20,310.5,245.0,2.14,-91.2
CORNERSTONE THERAPEUTICS INC,0001145404,,2000-07-01,2004-03-19,NC,CARY,2834,no_ticker,,,,,,,,,,,,,,,,
CORUS PHARMA INC,0001143714,,2001-01-02,2004-08-27,WA,SEATTLE,2834,no_ticker,,,,,,,,,,,,,,,,
"Coya Therapeutics, Inc.",0001835022,COYA,2020-04-30,2022-11-18,TX,HOUSTON,2834,trading,4.785,100123520,NCM,,,,1133,2022-12-29,4.57,2026-02-04,4.78,2024-10-28,10.19,123.0,3.3,4.7
CQENS Technologies Inc.,0001479915,,2002-01-01,2010-03-29,MN,MINNEAPOLIS,2834,no_ticker,,,,,,,,,,,,,,,,
"CRESCENT BIOPHARMA, INC.",0001253689,CBIO,2003-04-04,2013-10-04,MA,WALTHAM,2834,trading,9.5,289244288,NCM,,,,4408,2014-01-10,-991.1,2026-02-04,9.5,2023-02-14,405.0,-140.9,-2788.5,-101.0
"Crinetics Pharmaceuticals, Inc.",0001658247,CRNX,2010-01-01,2018-06-22,CA,SAN DIEGO,2834,trading,47.23,4841634304,NMS,,,,2758,2018-07-18,24.51,2026-02-04,47.23,2024-11-08,60.69,147.6,11.52,92.7
"Cue Biopharma, Inc.",0001645460,CUE,2011-01-01,2017-09-21,MA,BOSTON,2834,trading,0.3009,27453436,NCM,,,,2955,2018-01-02,11.63,2026-02-04,0.3,2020-06-02,30.73,164.2,0.24,-97.4
CUMBERLAND PHARMACEUTICALS INC,0001087294,CPIX,2006-09-01,2009-07-29,TN,"NASHVILLE,",2834,trading,4.0315,60310984,NMS,,,,6021,2009-08-11,16.83,2026-02-04,4.03,2009-08-13,17.05,1.3,1.06,-76.0
Curanex Pharmaceuticals Inc,0002025942,CURX,2018-06-01,2024-10-16,NY,JERICHO,2834,trading,0.2895,8204665,NCM,,,,162,2025-08-26,4.02,2026-02-04,0.29,2025-09-16,9.16,127.9,0.29,-92.8
CURAXIS PHARMACEUTICAL Corp,0001170723,,2001-02-01,2005-09-09,2Q,ALPHARETTA,2834,no_ticker,,,,,,,,,,,,,,,,
CURAXIS PHARMACEUTICAL Corp,0001434893,,2008-02-01,2008-05-15,NC,RALEIGH,2834,no_ticker,,,,,,,,,,,,,,,,
CUTANEA LIFE SCIENCES INC,0001374049,,2005-05-01,2010-08-12,PA,WAYNE,2834,no_ticker,,,,,,,,,,,,,,,,
"CV Sciences, Inc.",0001510964,CVSI,2010-12-09,2011-03-31,CA,SAN DIEGO,2834,trading,0.042,7739074,OQB,,,,4740,2013-02-12,4.6,2026-02-04,0.04,2014-02-24,165.0,3487.0,0.02,-99.1
"Cyclerion Therapeutics, Inc.",0001755237,CYCN,2013-09-01,2019-04-18,MA,CAMBRIDGE,2834,trading,1.2407,4722367,NCM,,,,2515,2019-03-18,250.0,2026-02-04,1.24,2019-04-01,457.0,82.8,1.18,-99.5
"Cyteir Therapeutics, Inc.",0001662244,,2020-09-01,2021-05-28,MA,STONEHAM,2834,no_ticker,,,,,,,,,,,,,,,,
"CytomX Therapeutics, Inc.",0001501989,CTMX,2010-09-01,2015-08-28,CA,SOUTH SAN FRANCISCO,2834,trading,5.765,976795008,NMS,,,,3772,2015-10-08,12.9,2026-02-04,5.76,2018-03-12,34.22,165.3,0.43,-55.3
Dance Biopharm Inc.,0001596126,,2009-02-01,2014-04-09,CA,BRISBANE,2834,no_ticker,,,,,,,,,,,,,,,,
"Day One Biopharmaceuticals, Inc.",0001845337,DAWN,2018-11-01,2021-05-04,CA,BRISBANE,2834,trading,10.63,1091440640,NMS,,,,1714,2021-05-27,23.5,2026-02-04,10.63,2021-09-01,27.92,18.8,5.72,-54.8
"Decibel Therapeutics, Inc.",0001656536,,2013-01-01,2021-01-22,MA,BOSTON,2834,no_ticker,,,,,,,,,,,,,,,,
"Deciphera Pharmaceuticals, Inc.",0001654151,,2016-06-01,2017-09-01,MA,WALTHAM,2834,no_ticker,,,,,,,,,,,,,,,,
Dermavant Sciences Ltd,0001753483,,2016-03-01,2019-05-24,AZ,PHOENIX,2834,no_ticker,,,,,,,,,,,,,,,,
"Dermira, Inc.",0001557883,,2010-08-01,2014-08-27,CA,MENLO PARK,2834,no_ticker,,,,,,,,,,,,,,,,
"Design Therapeutics, Inc.",0001807120,DSGN,2017-12-01,2021-03-05,CA,CARLSBAD,2834,trading,10.0525,572628160,NMS,,,,1773,2021-03-29,34.01,2026-02-04,10.05,2021-03-29,34.01,0.0,1.99,-70.4
DiaMedica Therapeutics Inc.,0001401040,DMAC,2012-05-15,2018-11-09,MN,MINNEAPOLIS,2834,trading,8.15,424431104,NCM,,,,4933,2012-08-03,41.08,2026-02-04,8.15,2012-08-07,44.18,7.5,0.81,-80.2
"DICE Therapeutics, Inc.",0001645569,,2013-11-01,2021-08-25,CA,SOUTH SAN FRANCISCO,2834,no_ticker,,,,,,,,,,,,,,,,
Dicerna Pharmaceuticals Inc,0001399529,,2006-10-01,2013-12-31,MA,LEXINGTON,2834,no_ticker,,,,,,,,,,,,,,,,
"Disc Medicine, Inc.",0001816736,IRON,2020-06-01,2020-07-24,MA,WATERTOWN,2834,trading,78.03,2945645056,NGM,,,,2002,2020-08-12,309.0,2026-02-04,78.03,2021-03-15,540.0,74.8,17.95,-74.7
"DNIB UNWIND, INC.",0001385228,,2006-05-01,2013-08-12,MA,CAMBRIDGE,2834,no_ticker,,,,,,,,,,,,,,,,
"Dogwood Therapeutics, Inc.",0001818844,DWTX,2007-01-01,2020-08-28,GA,ALPHARETTA,2834,trading,3.13,100418112,NCM,,,,1875,2020-12-17,417.75,2026-02-04,3.13,2020-12-17,417.75,0.0,1.85,-99.3
Dova Pharmaceuticals Inc.,0001685071,,2016-03-01,2017-06-02,NC,DURHAM,2834,no_ticker,,,,,,,,,,,,,,,,
"Dyne Therapeutics, Inc.",0001818794,DYN,2017-01-01,2020-08-25,MA,WALTHAM,2834,trading,18.265,3007373056,NMS,,,,1966,2020-09-17,23.9,2026-02-04,18.26,2024-08-21,47.04,96.8,4.36,-23.6
"EAGLE PHARMACEUTICALS, INC.",0000827871,,2007-01-01,2013-12-20,NJ,WOODCLIFF LAKE,2834,no_ticker,,,,,,,,,,,,,,,,
EARTH DRAGON RESOURCES INC.,0001441247,,2007-10-23,2008-07-30,M0,TOKYO,2834,no_ticker,,,,,,,,,,,,,,,,
"Earth Science Tech, Inc.",0001538495,ETST,2010-04-23,2012-02-01,FL,MIAMI,2834,trading,0.147,43188248,PNK,,,,4403,2014-01-15,1.0,2026-02-04,0.15,2017-02-16,3.67,267.0,0.01,-85.3
"Edgewise Therapeutics, Inc.",0001710072,EWTX,2017-01-01,2021-03-05,CO,BOULDER,2834,trading,29.065,3077065984,NMS,,,,1776,2021-03-26,30.0,2026-02-04,29.07,2024-11-06,36.62,22.1,5.51,-3.1
"Eidos Therapeutics, Inc.",0001731831,,2013-01-01,2018-05-25,CA,SAN FRANCISCO,2834,no_ticker,,,,,,,,,,,,,,,,
"Elicio Therapeutics, Inc.",0001555192,,2012-01-01,2021-06-28,MA,CAMBRIDGE,2834,no_ticker,,,,,,,,,,,,,,,,
"Elicio Therapeutics, Inc.",0001601485,ELTX,2011-06-01,2014-04-14,MA,BOSTON,2834,trading,7.86,135653008,NCM,,,,1825,2021-02-05,170.2,2026-02-04,7.86,2021-02-22,257.4,51.2,3.3,-95.4
"Emmaus Life Sciences, Inc.",0000822370,EMMA,2000-01-11,2010-02-01,CA,TORRANCE,2834,trading,0.0139,975755,OQB,,,,10757,1996-08-22,393842528.0,2026-02-03,0.01,1996-08-26,427502752.0,8.5,0.0,-100.0
Endo LP,0002008861,,2023-01-01,2024-07-12,PA,MALVERN,2834,no_ticker,,,,,,,,,,,,,,,,
"Enliven Therapeutics, Inc.",0001672619,ELVN,2016-01-01,2020-02-14,CO,BOULDER,2834,trading,27.06,1605938304,NMS,,,,2155,2020-03-12,60.0,2026-02-04,27.06,2020-06-11,219.48,265.8,3.96,-54.9
"Ensysce Biosciences, Inc.",0001716947,ENSC,2013-01-01,2017-11-03,CA,LA JOLLA,2834,trading,0.58,2106734,NCM,,,,2884,2018-03-14,34380.0,2026-02-04,0.58,2021-02-01,86364.0,151.2,0.58,-100.0
Entasis Therapeutics Holdings Inc.,0001724344,,2015-05-01,2018-08-17,MA,WALTHAM,2834,no_ticker,,,,,,,,,,,,,,,,
"Enterologics, Inc.",0001483731,,2009-09-02,2010-02-17,MN,ST. PAUL,2834,no_ticker,,,,,,,,,,,,,,,,
"ENTEST GROUP, INC.",0001449447,,2008-09-24,2008-11-04,F4,SHENZHEN,2834,no_ticker,,,,,,,,,,,,,,,,
"Entrada Therapeutics, Inc.",0001689375,TRDA,2016-01-01,2021-10-08,MA,BOSTON,2834,trading,11.29,431495136,NGM,,,,1559,2021-10-29,23.95,2026-02-04,11.29,2021-11-17,35.0,46.1,5.02,-52.9
"Enumeral Biomedical Holdings, Inc.",0001561551,,2012-02-01,2013-01-04,MA,ARLINGTON,2834,no_ticker,,,,,,,,,,,,,,,,
EnzymeBioSystems,0001471968,,2009-06-26,2009-09-28,NV,LAS VEGAS,2834,no_ticker,,,,,,,,,,,,,,,,
EnzymeBioSystems/Old,0001468135,,2009-06-26,2009-07-17,OH,CHAGRIN FALLS,2834,no_ticker,,,,,,,,,,,,,,,,
"EPIRUS Biopharmaceuticals, Inc.",0001135906,,2001-01-01,2004-12-10,MA,BOSTON,2834,no_ticker,,,,,,,,,,,,,,,,
"EQRx, Inc.",0001843762,,2021-01-25,2021-02-25,MA,CAMBRIDGE,2834,no_ticker,,,,,,,,,,,,,,,,
"Equillium, Inc.",0001746466,EQ,2017-03-01,2018-09-17,CA,LA JOLLA,2834,trading,1.485,90426528,NCM,,,,2672,2018-10-12,14.0,2026-02-04,1.49,2020-07-13,26.5,89.3,0.29,-89.4
"Erasca, Inc.",0001761918,ERAS,2018-01-01,2021-06-25,CA,SAN DIEGO,2834,trading,10.98,3399262976,NMS,,,,1664,2021-07-16,17.43,2026-02-04,10.98,2021-09-02,24.34,39.6,1.06,-37.0
"Esperion Therapeutics, Inc.",0001434868,ESPR,2008-01-01,2013-05-14,MI,ANN ARBOR,2834,trading,3.445,823573504,NGM,,,,4606,2013-06-26,14.5,2026-02-04,3.44,2015-05-19,115.3,695.2,0.73,-76.2
"Eton Pharmaceuticals, Inc.",0001710340,ETON,2017-04-01,2018-08-10,IL,DEER PARK,2834,trading,14.92,400117632,NGM,,,,2640,2018-11-13,6.25,2026-02-04,14.92,2025-09-29,22.48,259.7,2.02,138.7
"Evelo Biosciences, Inc.",0001694665,EVLO,2014-01-01,2018-04-13,MA,FOXBORO,2834,trading,0.0002,3796,PNK,,,,2827,2018-05-09,325.0,2026-02-03,0.0,2021-01-28,372.0,14.5,0.0,-100.0
"Evofem Biosciences, Inc.",0001618835,EVFM,2007-02-01,2014-10-17,CA,SAN DIEGO,2834,trading,0.009,1140173,PNK,,,,4094,2014-11-20,135000.0,2026-02-04,0.01,2015-08-04,163462.5,21.1,0.01,-100.0
Evoke Pharma Inc,0001403708,EVOK,2007-01-01,2013-05-24,CA,SOLANA BEACH,2834,delisted,,,,unknown,,,4466,2013-09-25,1690.57,2025-12-17,11.0,2013-10-04,2014.57,19.2,2.07,-99.3
"Evolus, Inc.",0001570562,EOLS,2012-11-01,2018-01-09,CA,NEWPORT BEACH,2834,trading,4.515,292661312,NGM,,,,2918,2018-02-08,11.5,2026-02-04,4.51,2018-06-06,38.49,234.7,2.92,-60.7
"Evommune, Inc.",0002044725,EVMN,2020-01-01,2025-10-09,CA,PALO ALTO,2834,trading,18.195,573580864,NYQ,,,,90,2025-11-06,20.23,2026-02-04,18.19,2025-12-04,21.93,8.4,15.01,-10.1
"EXICURE, INC.",0001698530,XCUR,2017-02-06,2017-11-28,IL,CHICAGO,2834,trading,4.26,27152684,NCM,,,,2815,2018-05-22,465.0,2026-02-04,4.26,2018-09-18,975.0,109.7,1.5,-99.1
"Exxel Pharma, INC.",0002046638,,2018-01-01,2025-09-19,,VANCOUVER,2834,no_ticker,,,,,,,,,,,,,,,,
EYETECH PHARMACEUTICALS INC,0001115285,,2002-01-01,2003-09-12,NY,NEW YORK,2834,no_ticker,,,,,,,,,,,,,,,,
Felicitex Therapeutics Inc.,0001912287,,2012-01-01,2022-08-10,MA,NATICK,2834,no_ticker,,,,,,,,,,,,,,,,
"FibroBiologics, Inc.",0001958777,FBLG,2021-04-01,2023-11-07,TX,HOUSTON,2834,trading,0.2601,17301780,NCM,,,,735,2024-01-31,29.1,2026-02-04,0.26,2024-01-31,29.1,0.0,0.22,-99.1
"FIRST CHINA PHARMACEUTICAL GROUP, INC.",0001432254,,2007-07-31,2008-05-28,F4,"KUNMING CITY, YUNNAN PROVINCE",2834,no_ticker,,,,,,,,,,,,,,,,
Flexion Therapeutics Inc,0001419600,,2007-11-01,2014-01-08,MA,BURLINGTON,2834,no_ticker,,,,,,,,,,,,,,,,
Foghorn Therapeutics Inc.,0001822462,FHTX,2015-10-01,2020-10-02,MA,CAMBRIDGE,2834,trading,5.415,317219392,NGM,,,,1930,2020-10-23,18.12,2026-02-04,5.41,2020-12-18,25.88,42.8,2.82,-70.1
"Forte Biosciences, Inc.",0001419041,FBRX,2007-08-01,2017-03-09,TX,DALLAS,2834,trading,31.685,396915936,NCM,,,,3219,2017-04-13,4668.75,2026-02-04,31.68,2017-05-05,6525.0,39.8,4.18,-99.3
"Forty Seven, Inc.",0001667633,,2014-01-01,2018-06-01,CA,MENLO PARK,2834,no_ticker,,,,,,,,,,,,,,,,
"Fulcrum Therapeutics, Inc.",0001680581,FULC,2007-01-01,2019-06-21,MA,CAMBRIDGE,2834,trading,9.85,649807424,NGM,,,,2393,2019-07-18,13.5,2026-02-04,9.85,2021-09-20,30.97,129.4,2.26,-27.0
"Gain Therapeutics, Inc.",0001819411,GANX,2020-06-26,2021-02-19,MD,BETHESDA,2834,trading,1.7555,67520184,NGM,,,,1783,2021-03-19,12.2,2026-02-04,1.76,2021-04-05,15.8,29.5,0.94,-85.6
"Galecto, Inc.",0001800315,GLTO,2019-10-01,2020-10-07,MA,BOSTON,2834,trading,24.505,39207336,NCM,,,,1924,2020-10-29,375.0,2026-02-04,24.5,2020-11-23,421.0,12.3,2.22,-93.5
"Galera Therapeutics, Inc.",0001563577,GRTX,2012-11-01,2019-10-11,PA,MALVERN,2834,trading,0.0221,1667718,OQB,,,,2281,2019-11-07,12.0,2026-02-04,0.02,2020-03-02,17.67,47.3,0.02,-99.8
Gelesis Inc,0001385374,,2006-02-01,2015-04-01,ma,boston,2834,no_ticker,,,,,,,,,,,,,,,,
GENELUX Corp,0001231457,GNLX,2001-09-01,2022-06-24,CA,WESTLAKE VILLAGE,2834,trading,2.52,112690464,NCM,,,,1105,2023-01-26,6.15,2026-02-04,2.52,2023-06-21,38.0,517.9,1.62,-59.0
Generation Bio Co.,0001733294,GBIO,2016-01-01,2020-05-22,MA,CAMBRIDGE,2834,trading,5.535,37297844,NMS,,,,2063,2020-06-12,246.9,2026-02-04,5.53,2020-12-02,516.1,109.0,3.0,-97.8
"Genprex, Inc.",0001595248,GNPX,2009-04-01,2017-07-21,TX,AUSTIN,2834,trading,2.2375,3651244,NCM,,,,2869,2018-03-29,9400.0,2026-02-04,2.24,2018-05-08,31800.0,238.3,1.75,-100.0
"Global Blood Therapeutics, Inc.",0001629137,,2011-02-01,2015-07-08,CA,SOUTH SAN FRANCISCO,2834,no_ticker,,,,,,,,,,,,,,,,
Global Future City Holding Inc.,0001164964,,2000-10-12,2015-05-08,CA,IRVINE,2834,no_ticker,,,,,,,,,,,,,,,,
GLOBAL GREEN INC.,0001522724,,2004-07-12,2011-06-10,FL,TALLAHASSEE,2834,no_ticker,,,,,,,,,,,,,,,,
GlobeStar Therapeutics Corp,0001502152,,2010-09-16,2010-11-03,WA,RICHLAND,2834,no_ticker,,,,,,,,,,,,,,,,
"Gossamer Bio, Inc.",0001728117,GOSS,2015-10-01,2018-12-21,CA,SAN DIEGO,2834,trading,2.43,562438656,NMS,,,,2553,2019-02-08,17.94,2026-02-04,2.43,2019-12-11,26.79,49.3,0.48,-86.5
"Greater Cannabis Company, Inc.",0001695473,GCAN,2014-03-01,2017-06-20,MD,BALTIMORE,2834,trading,0.17602,158463,OQB,,,,2695,2018-09-18,210.0,2026-02-03,0.18,2018-09-19,559.63,166.5,0.05,-99.9
GridAI Technologies Corp.,0001604191,GRDX,2008-10-01,2016-07-13,FL,BOCA RATON,2834,trading,3.165,10640423,NCM,,,,3403,2016-10-11,627480.0,2026-02-04,3.16,2016-10-12,690480.0,10.0,0.71,-100.0
"Guardion Health Sciences, Inc.",0001642375,,2009-12-01,2016-02-11,TX,HOUSTON,2834,no_ticker,,,,,,,,,,,,,,,,
"Harmony Biosciences Holdings, Inc.",0001802665,HRMY,2017-05-01,2020-07-27,PA,PLYMOUTH MEETING,2834,trading,36.79,2118970112,NGM,,,,1995,2020-08-19,37.01,2026-02-04,36.79,2022-12-05,60.91,64.6,19.2,-0.6
"HARROW, INC.",0001360214,HROW,2006-01-01,2012-07-25,TN,NASHVILLE,2834,trading,46.2301,1712245120,NGM,,,,6704,2007-09-28,120.0,2026-02-04,46.23,2007-10-04,138.0,15.0,0.75,-61.5
HCW Biologics Inc.,0001828673,HCWB,2018-04-01,2021-05-26,FL,MIRAMAR,2834,trading,1.08,3542198,NCM,,,,1660,2021-07-20,252.0,2026-02-04,1.08,2021-07-20,252.0,0.0,0.97,-99.6
"Health-Right Discoveries, Inc.",0001537663,,2011-01-01,2015-09-09,FL,AVENTURA,2834,no_ticker,,,,,,,,,,,,,,,,
"Healthcare Royalty, Inc.",0001859651,,2006-01-01,2021-07-01,CT,STAMFORD,2834,no_ticker,,,,,,,,,,,,,,,,
HELICOS BIOSCIENCES CORP,0001274563,,2003-05-01,2007-02-28,MA,CAMBRIDGE,2834,no_ticker,,,,,,,,,,,,,,,,
Hemoglobin Oxygen Therapeutics LLC,0001615647,,2014-02-01,2022-04-26,PA,SOUDERTON,2834,no_ticker,,,,,,,,,,,,,,,,
HIGH PERFORMANCE BEVERAGES CO.,0001504222,,2010-10-08,2010-11-05,AZ,CAVE CREEK,2834,no_ticker,,,,,,,,,,,,,,,,
Histogen Inc.,0001383701,,2005-01-01,2013-06-14,CA,San Diego,2834,no_ticker,,,,,,,,,,,,,,,,
"Hoth Therapeutics, Inc.",0001711786,HOTH,2017-05-01,2018-10-10,NY,NEW YORK,2834,trading,0.8092,12554181,NCM,,,,2546,2019-02-15,213.25,2026-02-04,0.81,2019-02-15,213.25,0.0,0.59,-99.6
"Hoverink Biotechnologies, Inc.",0001586494,,2013-07-01,2015-09-08,CA,LOS ANGELES,2834,no_ticker,,,,,,,,,,,,,,,,
HYPERION THERAPEUTICS INC,0001386858,,2000-01-01,2012-04-13,CA,BRISBANE,2834,no_ticker,,,,,,,,,,,,,,,,
HypGen Inc,0001653629,,2015-03-26,2015-10-13,CA,CENTURY CITY,2834,no_ticker,,,,,,,,,,,,,,,,
"IASO BioMed, Inc.",0001662907,,2015-03-11,2016-12-14,CO,CENTENNIAL,2834,no_ticker,,,,,,,,,,,,,,,,
IASO PHARMA INC,0001422702,,2006-10-01,2010-04-15,CA,SAN DIEGO,2834,no_ticker,,,,,,,,,,,,,,,,
"IDEAYA Biosciences, Inc.",0001676725,IDYA,2015-06-01,2019-04-26,CA,SOUTH SAN FRANCISCO,2834,trading,33.655,2950412800,NMS,,,,2449,2019-05-23,11.19,2026-02-04,33.65,2024-02-16,47.13,321.2,3.03,200.8
"Ignyta, Inc.",0001557421,,2012-08-21,2012-09-13,CA,SAN DIEGO,2834,no_ticker,,,,,,,,,,,,,,,,
il2m INTERNATIONAL CORP.,0001520512,,2010-06-01,2011-08-31,CA,BURBANK,2834,no_ticker,,,,,,,,,,,,,,,,
"Imago BioSciences, Inc.",0001623715,,2007-01-01,2021-06-25,CA,REDWOOD CITY,2834,no_ticker,,,,,,,,,,,,,,,,
IMMAGE BIOTHERAPEUTICS CORP.,0001564273,,2012-06-21,2012-12-10,MD,BETHESDA,2834,no_ticker,,,,,,,,,,,,,,,,
"Immix Biopharma, Inc.",0001873835,IMMX,2018-01-01,2021-09-17,CA,LOS ANGELES,2834,trading,6.0,317730752,NCM,,,,1511,2021-12-16,3.67,2026-02-04,6.0,2025-12-11,7.38,101.1,0.75,63.5
IMMUNE DESIGN CORP.,0001437786,,2008-02-01,2014-06-23,WA,SEATTLE,2834,no_ticker,,,,,,,,,,,,,,,,
Immuneering Corp,0001790340,IMRX,2008-01-01,2021-07-09,MA,CAMBRIDGE,2834,trading,4.655,300573216,NGM,,,,1650,2021-07-30,17.59,2026-02-04,4.66,2021-09-27,32.84,86.7,1.03,-73.5
"IMMUNIC, INC.",0001280776,IMUX,2003-01-01,2013-10-11,X1,NEW YORK,2834,trading,0.6141,73866848,NCM,,,,4311,2014-04-17,480.0,2026-02-04,0.61,2014-06-16,1332.4,177.6,0.51,-99.9
IMPACT BIOMEDICAL INC.,0001834105,IBO,2018-10-01,2021-02-12,TX,HOUSTON,2834,trading,0.486,50845920,ASE,,,,506,2024-09-16,2.68,2026-02-04,0.49,2025-03-21,4.96,85.1,0.36,-81.9
